Name,Movie,Year,Cause of Death
Kazuki Kitamura,Onibi,1997,Firearms
Kazuki Kitamura,Full Metal Yakuza,1997,Cutting Instrument
Kazuki Kitamura,Ley Lines,1999,Firearms
Kazuki Kitamura,Freeze Me,2000,Weather
Kazuki Kitamura,Kill Bill: Vol. 1,2003,Cutting Instrument
Kazuki Kitamura,The Man in White,2003,Firearms
Kazuki Kitamura,Godzilla: Final Wars,2004,Supernatural
Kazuki Kitamura,Killers,2014,Firearms
Kazuki Kitamura,Parasyte: Part 2,2015,Firearms
Kazuki Kitamura,Blade of the Immortal,2017,Cutting Instrument
Kazuki Kitamura,Rurouni Kenshin The Begining,2021,Cutting Instrument
Kazuki Kitamura,The Great Yokai War: Guardians,2021,Supernatural
Kazuki Kitamura,Signal The Movie,2021,Firearms
Jane Daly,Children Shouldnt Play with Dead Things,1973,Supernatural
Jane Daly,Deathdream,1974,Vehicular
Colin Hanks,Untraceable,2008,Supernatural
Colin Hanks,Elvis & Nixon,2016,Ailment
Brandon Routh,Superman Returns,2006,Poison
Brandon Routh,Unthinkable,2010,Explosives
Brandon Routh,Scott Pilgrim vs. the World,2010,Other
Michael Harding,Run & Jump,2013,Ailment
Lorraine Toussaint,Hudson Hawk,1991,Animals
Lorraine Toussaint,Point of No Return,1993,Firearms
Lorraine Toussaint,Nimona,2023,Firearms
Marilu Henner,Chains of Gold,1991,Strangulation
Marilu Henner,Gone But Not Forgotten,2004,Narcotics
Marilu Henner,The Governors Wife,2008,Firearms
Rose Leslie,Morgan,2016,Firearms
Rose Leslie,Death on the Nile,2022,Cutting Instrument
Mark Stanley,Hellboy,2019,Other
Yuriy Kolokolnikov,The Transporter Refueled,2015,Firearms
Yuriy Kolokolnikov,The Hitmans Bodyguard,2017,Firearms
Yuriy Kolokolnikov,Hunter Killer,2018,Other
Yuriy Kolokolnikov,6 Underground,2019,Firearms
Yuriy Kolokolnikov,Tenet,2020,Impact
Yuriy Kolokolnikov,Kraven the Hunter,2024,Other
Joseph Gatt,Thor,2011,Cutting Instrument
Joseph Gatt,Finders Keepers,2014,Cutting Instrument
Joseph Gatt,Dumbo,2019,Other
Joseph Gatt,Black Adam,2022,Firearms
Joseph Gatt,Titanic 666,2022,Firearms
Anne Bancroft,New York Confidential,1955,Vehicular
Anne Bancroft,7 Women,1966,Poison
Anne Bancroft,Marco Polo,1982,Ailment
Anne Bancroft,Garbo Talks,1984,Ailment
Anne Bancroft,Honeymoon in Vegas,1992,Ailment
Anne Bancroft,Great Expectations,1998,Ailment
Anne Bancroft,Delgo,2008,Impact
Janet Suzman,Nicholas and Alexandra,1971,Firearms
Janet Suzman,Consecration,2023,Firearms
Mari Morrow,Virtuosity,1995,Explosives
Mari Morrow,Uninvited Guest,1999,Firearms
Miracle Vincent,Virtuosity,1995,Explosives
Jack Taylor,The Crawling Eye,1958,Other
Jack Taylor,Eugenie,1970,Cutting Instrument
Jack Taylor,Nightmares Come at Night,1970,Strangulation
Jack Taylor,Female Vampire,1973,Supernatural
Jack Taylor,Dr. Jekyll vs. the Werewolf,1973,Supernatural
Jack Taylor,The Ghost Galleon,1974,Supernatural
Jack Taylor,Rings of Fear,1978,Cutting Instrument
Jack Taylor,Edge of the Axe,1988,Cutting Instrument
Jack Taylor,The Ninth Gate,1999,Drowning
Jack Taylor,Grand Piano,2013,Ailment
Reggie Lee,The Dark Knight Rises,2012,Firearms
Reggie Lee,Safe,2012,Other
Lee Remick,Hennessy,1975,Firearms
Lee Remick,The Omen,1976,Impact
Lee Remick,The Medusa Touch,1978,Narcotics
Domenick Lombardozzi,Carlitos Way: Rise to Power,2005,Firearms
Domenick Lombardozzi,The Family,2013,Firearms
Domenick Lombardozzi,Gods Pocket,2014,Firearms
Domenick Lombardozzi,The Irishman,2019,Ailment
Jayne Mansfield,Female Jungle,1956,Strangulation
Jayne Mansfield,The Loves of Hercules,1960,Supernatural
Jayne Mansfield,Dog Eat Dog,1964,Animals
Jayne Mansfield,First person to perform uncut nude scenes in a released film,1963,Cutting Instrument
Erik King,Casualties of War,1989,Firearms
Sprague Grayden,Paranormal Activity 2,2010,Other
Jack Conley,Heavens Gate,1980,Firearms
Jack Conley,The Purge: Anarchy,2014,Firearms
William Lucking,Wild Rovers,1971,Firearms
William Lucking,The Return of a Man Called Horse,1976,Firearms
William Lucking,The River Wild,1994,Drowning
William Lucking,The Limey,1999,Firearms
Steven Ogg,V/H/S/99,2022,Fire
Hugh Laurie,The Man in the Iron Mask,1998,Other
Hugh Laurie,Tomorrowland,2015,Supernatural
Stephen Fry,Wilde,1997,Other
Stephen Fry,V for Vendetta,2005,Supernatural
Stephen Fry,The Hobbit: The Battle of the Five Armies,2014,Drowning
Stephen Fry,Alice Through the Looking Glass,2016,Other
Christian Coulson,Harry Potter and the Chamber of Secrets,2002,Explosives
Ian Hart,Enemy of the State,1998,Firearms
Ian Hart,Harry Potter and the Philosophers Stone,2001,Blunt Objects
Ian Hart,Finding Neverland,2004,Ailment
Natalia Tena,Harry Potter and the Deathly Hallows: Part 2,2011,Other
Jessie Cave,Harry Potter and the Deathly Hallows: Part 2,2011,Supernatural
Dave Legeno,Outlaw,2007,Firearms
Dave Legeno,Command Performance,2009,Cutting Instrument
Dave Legeno,Centurion,2010,Cutting Instrument
Dave Legeno,Harry Potter and the Deathly Hallows: Part 2,2011,Impact
Robert Pattinson,Harry Potter and the Goblet of Fire,2005,Firearms
Robert Pattinson,Remember Me,2010,Other
Robert Pattinson,Cosmopolis,2012,Firearms
Robert Pattinson,The Rover,2014,Firearms
Robert Pattinson,Damsel,2018,Firearms
Robert Pattinson,The King,2019,Cutting Instrument
Robert Pattinson,The Lighthouse,2019,Impact
Robert Pattinson,Tenet,2020,Firearms
Robert Pattinson,The Devil All the Time,2020,Supernatural
Nick Moran,Another Life,2001,Cutting Instrument
Nick Moran,Harry Potter and the Deathly Hallows: Part 2,2011,Impact
Nick Moran,13 Eerie,2013,Supernatural
Nick Moran,Dont Knock Twice,2017,Other
Nick Moran,Avengement,2019,Firearms
Bruce Gray,Cube²: Hypercube,2002,Other
Bruce Gray,My Big Fat Greek Wedding 3,2023,Other
Victor Jory,The Adventures of Tom Sawyer,1938,Impact
Victor Jory,Dodge City,1939,Firearms
Victor Jory,Bad Men of Missouri,1941,Firearms
Victor Jory,Tombstone: The Town Too Tough To Die,1942,Firearms
Victor Jory,The Kansan,1943,Explosives
Victor Jory,The Loves of Carmen,1948,Cutting Instrument
Victor Jory,South Of St Louis,1949,Personal Weapons
Victor Jory,Fighting Man Of The Plains,1949,Personal Weapons
Victor Jory,The Cariboo Trail,1950,Firearms
Victor Jory,Cave Of Outlaws,1951,Firearms
Victor Jory,Flaming Feather,1952,Fire
Victor Jory,The Man from the Alamo,1953,Drowning
Victor Jory,The Man Who Turned to Stone,1957,Blunt Objects
Victor Jory,Cheyenne Autumn,1964,Impact
Judy Garland,Little Nellie Kelly,1940,Other
Ruth Gordon,Harold and Maude,1971,Narcotics
Fred Willard,Idle Hands,1999,Other
Fred Willard,Epic Movie,2007,Cutting Instrument
Kristanna Loken,Terminator 3: Rise of the Machines,2003,Explosives
Kristanna Loken,Curse of the Ring,2004,Cutting Instrument
Kristanna Loken,S.W.A.T: Firefight,2011,Firearms
Kristanna Loken,Bounty Killer,2013,Firearms
Kristanna Loken,Hunting the Phantom,2014,Supernatural
Jay Karnes,Hide,2011,Cutting Instrument
Jay Karnes,Setup,2011,Strangulation
Gregory Jbara,Exit Speed,2008,Narcotics
David Rees Snell,Exit Speed,2008,Narcotics
Wally White,Exit Speed,2008,Narcotics
Alexis Smith,Split Second,1953,Vehicular
Alexis Smith,The Sleeping Tiger,1954,Animals
Alexis Smith,Jacqueline Susanns Once Is Not Enough,1975,Vehicular
Alexis Smith,The Little Girl Who Lives Down the Lane,1976,Other
Diahn Williams,Deadly Hero,1975,Firearms
Jamie McShane,Hostage,2005,Firearms
Jamie McShane,Mank,2020,Firearms
Lizzie Brocheré,Rings,2017,Vehicular
Ally Walker,Universal Soldier: The Return,1999,Ailment
Harvey Stephens,Beau Geste,1939,Ailment
Harvey Stephens,Tombstone: The Town Too Tough to Die,1942,Firearms
Harvey Stephens,The Bat,1959,Blunt Objects
Harvey Stephens,Diary of a Madman,1963,Personal Weapons
Peter Jacobson,Domino,2005,Firearms
Peter Jacobson,White House Down,2013,Explosives
Roman Mitichyan,Takers,2010,Other
Roman Mitichyan,10 Minutes Gone,2019,Firearms
Roman Mitichyan,Dont Look Up,2021,Other
Lobo Sebastian,One Eight Seven,1997,Personal Weapons
Lobo Sebastian,Leprechaun In The Hood,2000,Other
Lobo Sebastian,Black and White,1999,Firearms
Lobo Sebastian,Ghosts of Mars,2001,Supernatural
Lobo Sebastian,Road Dogz,2002,Firearms
Lobo Sebastian,Dirty,2005,Cutting Instrument
Wanda De Jesus,Ghosts of Mars,2001,Supernatural
Dendrie Taylor,Madhouse,2004,Blunt Objects
Dendrie Taylor,Hollywoodland,2006,Firearms
Monique Gabriela Curnen,Contagion,2011,Ailment
Michael Reid MacKay,The Monster Squad,1987,Supernatural
Michael Reid MacKay,Sleepwalkers,1992,Cutting Instrument
Michael Reid MacKay,Se7en,1995,Poison
Michael Reid MacKay,Batman & Robin,1997,Impact
Michael Reid MacKay,X2,2003,Impact
Michael Reid MacKay,Insidious: Chapter 3,2015,Ailment
Joel Tobeck,The Lord of the Rings: The Return of the King,2003,Cutting Instrument
Joel Tobeck,30 Days of Night,2007,Supernatural
Joel Tobeck,Ghost Rider,2007,Supernatural
Theodoros Zegeye-Gebrehiwot,Keyhole,2011,Firearms
Louis Negin,Barry McKenzie Holds His Own,1974,Impact
Louis Negin,Physical Evidence,1989,Cutting Instrument
Louis Negin,Keyhole,2011,Ailment
Alex Reid,The Descent,2005,Blunt Objects
Alex Reid,Wilderness,2006,Cutting Instrument
Chris Browning,3:10 to Yuma,2007,Firearms
Chris Browning,The Book of Eli,2010,Cutting Instrument
Chris Browning,Let Me In,2010,Supernatural
Chris Browning,The Last Stand,2013,Firearms
Chris Browning,Wild Card,2015,Firearms
Chris Browning,Last Rampage,2017,Narcotics
Chris Browning,Why?,2021,Strangulation
Kurt Yaeger,Sunrise,2024,Strangulation
Callard Harris,USS Indianapolis: Men of Courage,2016,Other
Erin Richards,Open Grave,2013,Cutting Instrument
Erin Richards,The Quiet Ones,2014,Other
Erin Richards,Starve Acre,2023,Blunt Objects
Lyle Kanouse,Caught in the Crossfire,2010,Firearms
Andy McPhee,The Condemned,2007,Explosives
Andy McPhee,Nazi Undead,2018,Firearms
Brooke Shields,"Alice, Sweet Alice",1976,Supernatural
Brooke Shields,King of the Gypsies,1978,Vehicular
Brooke Shields,The Blue Lagoon,1980,Other
Brooke Shields,Freaked,1993,Supernatural
Brooke Shields,Freeway,1996,Vehicular
Chris Owens,Disturbing Behavior,1998,Firearms
Chris Owens,The Incredible Hulk,2008,Impact
Chris Owens,RED,2010,Strangulation
Monique Ganderton,Chicago,2002,Firearms
Monique Ganderton,The Twilight Saga: Eclipse,2010,Supernatural
Monique Ganderton,Bad Meat,2011,Firearms
Monique Ganderton,Hansel & Gretel: Witch Hunters,2013,Fire
Monique Ganderton,The Package,2012,Firearms
Monique Ganderton,American Ultra,2015,Explosives
Monique Ganderton,X-Men: Apocalypse,2016,Impact
Monique Ganderton,S.W.A.T.: Under Siege,2017,Impact
Monique Ganderton,The Killer,2023,Firearms
April Morgan,Chicago,2002,Firearms
Amanda Seyfried,Chloe,2009,Impact
Amanda Seyfried,Lovelace,2013,Vehicular
Amanda Seyfried,Pan,2015,Cutting Instrument
Amanda Seyfried,The Art of Racing in the Rain,2019,Ailment
Amanda Seyfried,Things Heard & Seen,2021,Cutting Instrument
Jesse Moss,Final Destination 3,2006,Impact
Jesse Moss,The Uninvited,2009,Impact
Jesse Moss,13 Eerie,2013,Supernatural
Jesse Moss,Extraterrestrial,2014,Supernatural
Jesse Moss,WolfCop,2014,Firearms
Tim De Zarn,Tales from the Crypt Presents: Demon Knight,1995,Supernatural
Tim De Zarn,The Texas Chainsaw Massacre: The Beginning,2006,Cutting Instrument
Tim De Zarn,Untraceable,2008,Cutting Instrument
Tim De Zarn,The Cabin in the Woods,2012,Other
Lynda Boyd,Final Destination 2,2003,Cutting Instrument
Lynda Boyd,Rampage: Capital Punishment,2014,Vehicular
Arie Verveen,Caught,1996,Cutting Instrument
Arie Verveen,Cabin Fever,2002,Ailment
Arie Verveen,Sin City,2005,Firearms
Noel Fisher,Valentine,2001,Other
Noel Fisher,Final Destination 2,2003,Animals
Noel Fisher,Battle: Los Angeles,2011,Supernatural
Sarah Carter,Final Destination 2,2003,Vehicular
Sarah Carter,Skinwalkers,2006,Firearms
Sarah Carter,Confessions of a Go-Go Girl,2008,Ailment
Sarah Carter,Guardian,2014,Firearms
Emmanuelle Vaugier,The Fear: Halloween Night,1999,Other
Emmanuelle Vaugier,Ripper: Letter from Hell,2001,Cutting Instrument
Emmanuelle Vaugier,Wishmaster 3: Beyond the Gates of Hell,2001,Supernatural
Emmanuelle Vaugier,Waters Edge,2003,Drowning
Emmanuelle Vaugier,Saw II,2005,Cutting Instrument
Emmanuelle Vaugier,Unearthed,2007,Supernatural
Emmanuelle Vaugier,Dolans Cadillac,2009,Explosives
Shawn Roberts,Land of the Dead,2005,Supernatural
Shawn Roberts,Skinwalkers,2006,Firearms
Shawn Roberts,Edge of Darkness,2010,Firearms
Shawn Roberts,Resident Evil: The Final Chapter,2016,Cutting Instrument
Shawn Roberts,XXX: Return of Xander Cage,2017,Blunt Objects
Kacey Clarke,Resident Evil: Afterlife,2010,Drowning
Wendy Richard,No Blade of Grass,1970,Cutting Instrument
Taylor Swift,The Giver,2014,Narcotics
Taylor Swift,Amsterdam,2022,Impact
Justine Priestley,A Crack in the Floor,2000,Blunt Objects
Justine Priestley,Up Against Amanda,2000,Vehicular
Amanda Crew,Final Destination 3,2006,Impact
Amanda Crew,Isabelle,2018,Ailment
Maggie Ma,Final Destination 3,2006,Cutting Instrument
Chester Bennington,Saw: The Final Chapter,2010,Vehicular
Katheryn Winnick,Biohazardous,2001,Supernatural
Katheryn Winnick,Killers,2010,Cutting Instrument
Katheryn Winnick,The Dark Tower,2017,Fire
Katheryn Winnick,Polar,2019,Firearms
Marian Waldman,Black Christmas,1974,Personal Weapons
Marian Waldman,Deranged,1974,Firearms
Chad Guerrero,Nightcrawler,2014,Firearms
Rachel Miner,Fatwa,2006,Poison
Rachel Miner,Tooth and Nail,2007,Poison
Walter Wong,Street Kings,2008,Firearms
Keone Young,Under Pressure,1997,Personal Weapons
Keone Young,Crank: High Voltage,2009,Firearms
Keone Young,Men in Black 3,2012,Cutting Instrument
Keone Young,Ultraman Rising,2024,Other
Tory Kittles,Get Rich or Die Tryin,2005,Cutting Instrument
Tory Kittles,Next,2007,Firearms
Tory Kittles,Miracle at St. Anna,2008,Explosives
Tory Kittles,A Perfect Getaway,2009,Firearms
Tory Kittles,The Kill Hole,2012,Firearms
Tory Kittles,Olympus Has Fallen,2013,Impact
Tory Kittles,American Heist,2014,Firearms
Martha Hyer,Ice Palace,1960,Ailment
Martha Hyer,Pyro,1964,Firearms
Martha Hyer,First Men in the Moon,1964,Ailment
Martha Hyer,Picture Mommy Dead,1966,Strangulation
Martha Hyer,Rawhide,1959,Firearms
Isabella Rossellini,Immortal Beloved,1994,Other
Isabella Rossellini,Wyatt Earp,1994,Other
Isabella Rossellini,The Sky Is Falling,2000,Impact
Isabella Rossellini,Chicken with Plums,2011,Ailment
Isabella Rossellini,Vita & Virginia,2019,Other
Isabella Rossellini,Marcel the Shell with Shoes On,2022,Firearms
Paula Blair,Keyhole,2011,Supernatural
Tattiawna Jones,Keyhole,2011,Drowning
Brooke Palsson,Keyhole,2011,Drowning
Ronald Lacey,How I Won the War,1967,Firearms
Ronald Lacey,Crucible of Terror,1971,Supernatural
Ronald Lacey,Disciple of Death,1972,Supernatural
Ronald Lacey,Raiders of the Lost Ark,1981,Fire
Ronald Lacey,Firefox,1982,Firearms
Ronald Lacey,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1982,Cutting Instrument
Ronald Lacey,Sahara,1983,Animals
Ronald Lacey,Yellowbeard,1983,Other
Ronald Lacey,Flesh + Blood,1985,Cutting Instrument
Ronald Lacey,Red Sonja,1985,Impact
Ronald Lacey,Indiana Jones and the Last Crusade,1989,Poison
Veronica Lazar,Last Tango in Paris,1972,Cutting Instrument
Veronica Lazar,Inferno,1980,Fire
Veronica Lazar,The Beyond,1981,Cutting Instrument
Paul Freeman,The Long Good Friday,1980,Cutting Instrument
Paul Freeman,Raiders of the Lost Ark,1981,Fire
Paul Freeman,Without a Clue,1988,Explosives
Paul Freeman,Mighty Morphin Power Rangers: The Movie,1995,Explosives
Paul Freeman,Hard Boiled Sweets,2012,Firearms
Paul Freeman,Falcon Crest,1985,Animals
Paul Freeman,Strike Back,2013,Blunt Objects
Daniel Enright,Keyhole,2011,Supernatural
Wolf Kahler,The Sea Wolves,1980,Drowning
Wolf Kahler,Raiders of the Lost Ark,1981,Other
Wolf Kahler,Shining Through,1992,Firearms
Wolf Kahler,Sherlock Holmes: A Game of Shadows,2011,Firearms
Wolf Kahler,Cockneys vs Zombies,2012,Supernatural
Darcy Fehr,Keyhole,2011,Supernatural
Nihad Ademi,Keyhole,2011,Supernatural
Reegan McCheyne,Keyhole,2011,Supernatural
Peter Silverleaf,I Spit on Your Grave 2,2013,Animals
Phil Hendrie,Team America: World Police,2004,Explosives
Amy Johnston (I),Jennifer,1978,Animals
Amy Johnston (II),Raze,2013,Strangulation
Amy Johnston (II),RocketJump: The Show:Tip Jar,2016,Firearms
Amy Johnston (II),Accident Man,2018,Cutting Instrument
Rebecca Marshall,Saw: The Final Chapter,2010,Cutting Instrument
Rebecca Marshall,Raze,2013,Personal Weapons
Rebecca Marshall,Cooties,2014,Ailment
Rebecca Marshall,12 Rounds 3:  Lockdown,2015,Firearms
Saul Rubinek,Agency,1980,Strangulation
Saul Rubinek,Death Ship,1980,Cutting Instrument
Saul Rubinek,Against All Odds,1984,Firearms
Saul Rubinek,True Romance,1993,Firearms
Saul Rubinek,I Love Trouble,1994,Impact
Saul Rubinek,Jerry and Tom,1998,Firearms
Saul Rubinek,Santas Slay,2005,Cutting Instrument
Saul Rubinek,Clock,2023,Cutting Instrument
Chuck Shamata,The House by the Lake,1976,Drowning
Chuck Shamata,Nowhere to Hide,1987,Explosives
Chuck Shamata,Death Wish V: The Face of Death,1994,Firearms
Chuck Shamata,The Day After Tomorrow,2004,Cutting Instrument
Chuck Shamata,Saving Emily,2004,Firearms
Chuck Shamata,Clown,2014,Other
Jaime Pressly,Poison Ivy: The New Seduction,1997,Poison
Jaime Pressly,Torque,2004,Vehicular
Jaime Pressly,Cruel World,2005,Cutting Instrument
Jaime Pressly,Death to the Supermodels,2005,Firearms
Jaime Pressly,A Haunted House 2,2014,Supernatural
Michael Wright,Sugar Hill,1994,Firearms
Michael Wright,The Interpreter,2005,Firearms
Abbie Cornish,The Monkeys Mask,2000,Strangulation
Abbie Cornish,Seven Psychopaths,2012,Firearms
Abbie Cornish,Solace,2015,Firearms
Geraldine Somerville,Harry Potter and the Philosophers Stone,2001,Blunt Objects
Geraldine Somerville,Grace of Monaco,2014,Other
Adrian Rawlins,Harry Potter and the Philosophers Stone,2001,Blunt Objects
Shirley Henderson,Harry Potter and the Chamber of Secrets,2002,Supernatural
Shirley Henderson,Frozen,2005,Drowning
Shirley Henderson,Tale of Tales,2015,Other
Henry Thomas,Legends of the Fall,1994,Impact
Henry Thomas,Dead in the Water,2002,Drowning
Henry Thomas,Gangs of New York,2002,Firearms
Henry Thomas,Dead Birds,2004,Firearms
Henry Thomas,Red Velvet,2008,Impact
Henry Thomas,Dont Look Up,2009,Supernatural
Henry Thomas,Dear John,2010,Ailment
Henry Thomas,Geralds Game,2017,Drowning
Henry Thomas,Doctor Sleep,2019,Supernatural
Henry Thomas,Dreamkatcher,2020,Cutting Instrument
Henry Thomas,Pet Sematary: Bloodlines,2023,Cutting Instrument
Henry Thomas,The Curse of the Necklace,2024,Cutting Instrument
Sammi Hanratty,Countdown,2019,Cutting Instrument
Donald Randolph,Gunsmoke,1953,Firearms
Donald Randolph,The Mad Magician,1954,Cutting Instrument
Donald Randolph,The Rawhide Years,1955,Other
Donald Randolph,Topaz,1969,Other
Anthony Eisley,Dracula vs. Frankenstein,1971,Fire
Tom Neal,The Great Heart,1938,Supernatural
Tom Neal,Bowery at Midnight,1942,Firearms
Tom Neal,The Racket Man,1944,Firearms
Tom Neal,The Brute Man,1946,Strangulation
Marion Ross,The Evening Star,1996,Other
Marion Ross,Superhero Movie,2008,Cutting Instrument
Lainie Kazan,Lady in Cement,1968,Cutting Instrument
Lainie Kazan,Lust in the Dust,1985,Firearms
Lainie Kazan,"Movies, Money, Murder",1996,Firearms
Lainie Kazan,Permanent Midnight,1998,Firearms
Lainie Kazan,A Good Night to Die,2003,Firearms
Julie Newmar,Mackennas Gold,1969,Impact
Julie Newmar,The Maltese Bippy,1969,Firearms
Snoop Dogg,Da Game of Life,1998,Firearms
Snoop Dogg,Hot Boyz,2000,Firearms
Snoop Dogg,Baby Boy,2001,Firearms
Snoop Dogg,Bones,2001,Cutting Instrument
Snoop Dogg,The Tenants,2005,Cutting Instrument
Snoop Dogg,Snoop Doggs Hood of Horror,2006,Supernatural
Charlie Murphy (actor),Murder Was the Case,1995,Cutting Instrument
Charlie Murphy (actor),Frankenhood,2009,Other
Taylor Negron,The Last Boy Scout,1991,Cutting Instrument
Taylor Negron,Death to the Supermodels,2005,Firearms
Taylor Negron,Vamps,2012,Cutting Instrument
Larry Fine,Half-Shot Shooters,1936,Firearms
Larry Fine,Three Little Sew and Sews,1939,Explosives
Larry Fine,You Nazty Spy!,1940,Animals
Larry Fine,Ill Never Heil Again,1941,Ailment
Thomas Brodie-Sangster,Death of a Superhero,2011,Ailment
Thomas Brodie-Sangster,Star Wars Episode VII: The Force Awakens,2015,Firearms
Thomas Brodie-Sangster,Maze Runner: The Death Cure,2018,Cutting Instrument
Ed Helms,Stretch,2014,Firearms
Ed Helms,Tag,2018,Ailment
Ed Helms,Corporate Animals,2019,Impact
Bailey Anne Borders,Raze,2013,Blunt Objects
Sherilyn Fenn,Wild at Heart,1990,Vehicular
Sherilyn Fenn,Of Mice and Men,1992,Other
Sherilyn Fenn,Raze,2013,Impact
Sherilyn Fenn,Wish Upon,2017,Other
Michael Fairman,Charlie Chan and the Curse of the Dragon Queen,1981,Supernatural
Michael Fairman,Dead Silence,2007,Supernatural
Adrienne Wilkinson,Raze,2013,Impact
Adrienne Wilkinson,Dreamcatcher,2021,Firearms
Hal Ozsan,The Infidel,2020,Explosives
Marissa Labog,Raze,2013,Strangulation
Tiffany DeMarco,Raze,2013,Cutting Instrument
Sunny Tellone,Raze,2013,Personal Weapons
Tracie Thoms,Raze,2013,Strangulation
Tonya Kay,Raze,2013,Strangulation
Tonya Kay,Bastard,2015,Cutting Instrument
Tonya Kay,D-Railed,2018,Vehicular
Tonya Kay,Saving My Baby,2019,Firearms
Marissa Pistone,Raze,2013,Other
Marissa Pistone,4/20 Massacre,2018,Cutting Instrument
Allene Quincy,Raze,2013,Firearms
Jade Quon,Raze,2013,Personal Weapons
Jade Quon,Iron Man 3,2013,Firearms
Nicole Steinwedell,Raze,2013,Blunt Objects
Samantha Arnett,Raze,2013,Firearms
Andrew Pagana,Raze,2013,Cutting Instrument
C.M. Schwartzy,Raze,2013,Cutting Instrument
Jacob Horn,Raze,2013,Firearms
James Young,Raze,2013,Firearms
Bruce Thomas,Raze,2013,Cutting Instrument
Marie-France Pisier,The Vampire of Düsseldorf,1965,Supernatural
Marie-France Pisier,Trans-Europ-Express,1967,Strangulation
Marie-France Pisier,The Other Side of Midnight,1977,Firearms
Marie-France Pisier,Comme un avion,2002,Other
Peyton McDavitt,The Raking,2017,Vehicular
Joe Egender,Hunger,2009,Cutting Instrument
Joe Egender,Holy Ghost People,2013,Supernatural
Ryan Stiles,Hot Shots!,1991,Firearms
Ryan Stiles,Spooky Buddies,2011,Animals
Seth Gilliam,Starship Troopers,1997,Explosives
Evan Handler,Ransom,1996,Firearms
O.J. Simpson,The Cassandra Crossing,1976,Firearms
O.J. Simpson,Killer Force,1976,Firearms
O.J. Simpson,Capricorn One,1978,Other
O.J. Simpson,Firepower,1979,Firearms
O.J. Simpson,No Place to Hide,1993,Personal Weapons
Alan Bates,Britannia Hospital,1982,Cutting Instrument
Alan Bates,The Wicked Lady,1983,Firearms
Alan Bates,A Prayer for the Dying,1987,Explosives
Alan Bates,Hamlet,1990,Cutting Instrument
Alan Bates,The Sum of All Fears,2002,Explosives
Deborah Kerr,The Life and Death of Colonel Blimp,1943,Ailment
Deborah Kerr,"Edward, My Son",1949,Ailment
Deborah Kerr,Julius Caesar,1953,Other
Deborah Kerr,Young Bess,1953,Ailment
Deborah Kerr,The End of the Affair,1955,Ailment
Deborah Kerr,Bonjour Tristesse,1958,Vehicular
Susan French,Somewhere in Time,1980,Ailment
Susan French,House,1985,Strangulation
Susan French,Flatliners,1990,Ailment
Aisha Tyler,Balls of Fury,2007,Poison
Tim Meadows,Coneheads,1993,Other
Dimitri Leonidas,Tormented,2009,Cutting Instrument
Dimitri Leonidas,Centurion,2010,Cutting Instrument
Patrick Labyorteaux,Heathers,1989,Firearms
Lance Fenton,Night of the Demons,1988,Supernatural
Lance Fenton,Heathers,1989,Firearms
Duncan Regehr,The Monster Squad,1987,Supernatural
Duncan Regehr,The Banker,1989,Firearms
Duncan Regehr,Blood Surf,2000,Cutting Instrument
Jordan Peele,Keanu,2016,Firearms
Jordan Peele,Get Out,2017,Vehicular
Colin Stinton,Big Nothing,2006,Drowning
Colin Stinton,The Bourne Ultimatum,2007,Explosives
Colin Stinton,Rush,2013,Ailment
Kim Walker,Heathers,1989,Poison
Barbra Streisand,On a Clear Day You Can See Forever,1970,Strangulation
Laura Regan,My Little Eye,2002,Firearms
Laura Regan,They,2002,Other
Laura Regan,Dead Silence,2007,Supernatural
Bob Hope,My Favorite Spy,1951,Strangulation
Bob Hope,Son of Paleface,1952,Supernatural
Bob Hope,Scared Stiff,1953,Supernatural
Marion Martin (I),They Got Me Covered,1943,Cutting Instrument
Marion Martin (II),Cowards Bend the Knee or The Blue Hands,2003,Ailment
Sammy Snyders,The Pit,1981,Impact
Amy Stewart,Cowards Bend the Knee or The Blue Hands,2003,Supernatural
Paul Dano,The King,2005,Cutting Instrument
Paul Dano,There Will Be Blood,2007,Blunt Objects
Paul Dano,Looper,2012,Other
Paul Dano,Spaceman,2024,Ailment
David Stuart Evans,Cowards Bend the Knee or The Blue Hands,2003,Strangulation
Mike Bell,Cowards Bend the Knee or The Blue Hands,2003,Strangulation
Tara Birtwhistle,Dracula: Pages from a Virgins Diary,2002,Supernatural
Tara Birtwhistle,Cowards Bend the Knee or The Blue Hands,2003,Strangulation
Melissa Dionisio,Cowards Bend the Knee or The Blue Hands,2003,Impact
Kay Hammond (British),Blithe Spirit,1945,Supernatural
Kay Hammond (British),Five Golden Hours,1961,Ailment
Kay Hammond (American),The Trespasser,1929,Other
Elizabeth Hartman,Walking Tall,1973,Firearms
Piper Laurie,Until They Sail,1957,Cutting Instrument
Piper Laurie,The Hustler,1961,Other
Piper Laurie,Carrie,1976,Cutting Instrument
Piper Laurie,Ruby,1977,Drowning
Piper Laurie,Appointment With Death,1988,Poison
Piper Laurie,Trauma,1993,Cutting Instrument
Piper Laurie,The Grass Harp,1995,Ailment
Piper Laurie,Hesher,2010,Ailment
Piper Laurie,White Boy Rick,2018,Other
Matt Keeslar,Psycho Beach Party,2000,Firearms
Matt Keeslar,Scream 3,2000,Explosives
