Name,Movie,Year,Cause of Death
Ryan Reynolds,The Alarmist,1997,Other
Ryan Reynolds,X-Men Origins: Wolverine,2009,Animals
Ryan Reynolds,Buried,2010,Strangulation
Ryan Reynolds,R.I.P.D.,2013,Cutting Instrument
Ryan Reynolds,A Million Ways to Die in the West,2014,Firearms
Ryan Reynolds,The Voices,2014,Drowning
Ryan Reynolds,Criminal,2016,Other
Ryan Reynolds,Life,2017,Other
Ryan Reynolds,Deadpool 2,2018,Personal Weapons
Ryan Reynolds,The Hitmans Wifes Bodyguard,2021,Firearms
Ryan Reynolds,Spirited,2022,Supernatural
Ryan Reynolds,Deadpool & Wolverine,2024,Animals
Guy Pearce,Ravenous,1999,Animals
Guy Pearce,The Count of Monte Cristo,2002,Cutting Instrument
Guy Pearce,First Snow,2007,Vehicular
Guy Pearce,Death Defying Acts,2007,Explosives
Guy Pearce,The Hurt Locker,2009,Explosives
Guy Pearce,Seeking Justice,2011,Firearms
Guy Pearce,Prometheus,2012,Ailment
Guy Pearce,Lawless,2012,Firearms
Guy Pearce,Iron Man 3,2013,Firearms
Guy Pearce,Brimstone,2016,Firearms
Guy Pearce,Bloodshot,2020,Explosives
Guy Pearce,The Seventh Day,2021,Cutting Instrument
Guy Pearce,Without Remorse,2021,Vehicular
Guy Pearce,Sunrise,2024,Fire
Josh Brolin,The Road Killers,1994,Blunt Objects
Josh Brolin,Mimic,1997,Cutting Instrument
Josh Brolin,My Brothers War,1997,Other
Josh Brolin,Its the Rage,1999,Firearms
Josh Brolin,Into the Blue,2005,Drowning
Josh Brolin,American Gangster,2007,Firearms
Josh Brolin,Grindhouse,2007,Supernatural
Josh Brolin,No Country for Old Men,2007,Firearms
Josh Brolin,Milk,2008,Poison
Josh Brolin,Jonah Hex,2010,Weather
Josh Brolin,True Grit,2010,Firearms
Josh Brolin,Men in Black 3,2012,Other
Josh Brolin,Labor Day,2013,Firearms
Josh Brolin,Only the Brave,2017,Drowning
Josh Brolin,Avengers: Infinity War,2018,Cutting Instrument
Josh Brolin,Avengers: Endgame,2019,Blunt Objects
Josh Brolin,Doctor Strange in the Multiverse of Madness,2022,Other
Val Kilmer,The Doors,1991,Narcotics
Val Kilmer,Tombstone,1993,Ailment
Val Kilmer,True Romance,1993,Supernatural
Val Kilmer,The Island of Dr. Moreau,1996,Firearms
Val Kilmer,Hard Cash,2002,Explosives
Val Kilmer,Wonderland,2003,Ailment
Val Kilmer,Alexander,2004,Cutting Instrument
Val Kilmer,Mindhunters,2004,Cutting Instrument
Val Kilmer,George and the Dragon,2004,Supernatural
Val Kilmer,Summer Love,2006,Other
Val Kilmer,Delgo,2008,Other
Val Kilmer,Felon,2008,Firearms
Val Kilmer,Hardwired,2009,Firearms
Val Kilmer,The Thaw,2009,Ailment
Val Kilmer,MacGruber,2010,Explosives
Val Kilmer,The Traveler,2010,Firearms
Val Kilmer,5 Days of War,2011,Explosives
Val Kilmer,Wyatt Earps Revenge,2012,Other
Val Kilmer,The Super,2017,Cutting Instrument
Val Kilmer,The Snowman,2017,Firearms
Val Kilmer,Top Gun: Maverick,2022,Firearms
Joel Edgerton,Ned Kelly,2003,Firearms
Joel Edgerton,Smokin Aces,2006,Firearms
Joel Edgerton,Whisper,2007,Drowning
Joel Edgerton,Acolytes,2008,Cutting Instrument
Joel Edgerton,Animal Kingdom,2010,Firearms
Joel Edgerton,Legend of the Guardians: The Owls of GaHoole,2010,Animals
Joel Edgerton,The Thing,2011,Supernatural
Joel Edgerton,Loving,2016,Vehicular
Joel Edgerton,It Comes at Night,2017,Ailment
Joel Edgerton,Bright,2017,Cutting Instrument
Joel Edgerton,The King,2019,Other
Jim Sturgess,The Other Boleyn Girl,2008,Cutting Instrument
Jim Sturgess,Heartless,2009,Fire
Jim Sturgess,Fifty Dead Men Walking,2008,Firearms
Jim Sturgess,Cloud Atlas,2012,Cutting Instrument
Jim Sturgess,Kidnapping Mr. Heineken,2015,Vehicular
Jim Sturgess,Apartment 7A,2024,Cutting Instrument
Ray Winstone,The War Zone,1999,Cutting Instrument
Ray Winstone,Ripleys Game,2002,Vehicular
Ray Winstone,Cold Mountain,2003,Impact
Ray Winstone,The Departed,2006,Firearms
Ray Winstone,The Chronicles of Narnia: Prince Caspian,2008,Ailment
Ray Winstone,Indiana Jones and the Kingdom of the Crystal Skull,2008,Other
Ray Winstone,The Devils Tomb,2009,Supernatural
Ray Winstone,13,2010,Firearms
Ray Winstone,Edge of Darkness,2010,Firearms
Ray Winstone,London Boulevard,2010,Firearms
Ray Winstone,Sex & Drugs & Rock & Roll,2010,Narcotics
Ray Winstone,Hugo,2011,Drowning
Ray Winstone,Noah,2014,Cutting Instrument
Ray Winstone,The Gunman,2015,Firearms
Ray Winstone,Cats,2019,Other
Ray Winstone,Black Widow,2021,Animals
Ray Winstone,Damsel,2024,Cutting Instrument
Michael Gambon,The Beast Must Die,1974,Supernatural
Michael Gambon,"The Cook, the Thief, His Wife & Her Lover",1989,Firearms
Michael Gambon,Mobsters,1991,Impact
Michael Gambon,Two Deaths,1995,Firearms
Michael Gambon,Mary Reilly,1996,Ailment
Michael Gambon,The Innocent Sleep,1996,Firearms
Michael Gambon,Plunkett & Macleane,1999,Firearms
Michael Gambon,Sleepy Hollow,1999,Vehicular
Michael Gambon,Gosford Park,2001,Poison
Michael Gambon,Open Range,2003,Firearms
Michael Gambon,The Good Shepherd,2006,Firearms
Michael Gambon,Brideshead Revisited,2008,Other
Michael Gambon,Harry Potter and the Half-Blood Prince,2009,Impact
Michael Gambon,The Book of Eli,2010,Firearms
Michael Gambon,The Kings Speech,2010,Cutting Instrument
Michael Gambon,Paddington,2014,Animals
Michael Gambon,Kingsman: The Golden Circle,2017,Explosives
Christopher Lee,Penny and the Pownall Case,1948,Firearms
Christopher Lee,Cross-Roads,1955,Vehicular
Christopher Lee,The Dark Avenger,1955,Cutting Instrument
Christopher Lee,Beyond Mombasa,1956,Firearms
Christopher Lee,The Curse of Frankenstein,1957,Supernatural
Christopher Lee,Ill Met by Moonlight,1957,Ailment
Christopher Lee,The Truth About Women,1957,Firearms
Christopher Lee,Battle of the V-1,1958,Strangulation
Christopher Lee,Corridors of Blood,1958,Fire
Christopher Lee,Horror of Dracula,1958,Supernatural
Christopher Lee,A Tale of Two Cities,1958,Cutting Instrument
Christopher Lee,The Mummy,1959,Supernatural
Christopher Lee,Horror Hotel,1960,Supernatural
Christopher Lee,The Two Faces of Dr. Jekyll,1960,Fire
Christopher Lee,Beat Girl,1960,Cutting Instrument
Christopher Lee,Hercules in the Haunted World,1961,Supernatural
Christopher Lee,The Terror of the Tongs,1961,Supernatural
Christopher Lee,The Pirates of Blood River,1962,Drowning
Christopher Lee,Horror Castle,1963,Supernatural
Christopher Lee,The Whip and the Body,1963,Supernatural
Christopher Lee,The Castle of the Living Dead,1964,Cutting Instrument
Christopher Lee,The Devil Ship Pirates,1964,Supernatural
Christopher Lee,Dr. Terror’s House of Horrors,1965,Supernatural
Christopher Lee,She,1965,Cutting Instrument
Christopher Lee,The Skull,1965,Other
Christopher Lee,The Face of Fu Manchu,1965,Other
Christopher Lee,Dracula: Prince of Darkness,1966,Drowning
Christopher Lee,Rasputin: The Mad Monk,1966,Impact
Christopher Lee,Circus of Fear,1966,Impact
Christopher Lee,The Torture Chamber of Dr. Sadism,1967,Supernatural
Christopher Lee,Blood Fiend,1967,Supernatural
Christopher Lee,Night of the Big Heat,1967,Fire
Christopher Lee,Curse of the Crimson Altar,1968,Fire
Christopher Lee,Dracula Has Risen from the Grave,1968,Cutting Instrument
Christopher Lee,The Oblong Box,1969,Personal Weapons
Christopher Lee,The Bloody Judge,1970,Supernatural
Christopher Lee,Count Dracula,1970,Fire
Christopher Lee,Taste the Blood of Dracula,1970,Impact
Christopher Lee,Scars of Dracula,1970,Fire
Christopher Lee,The House That Dripped Blood,1971,Fire
Christopher Lee,"I, Monster",1971,Supernatural
Christopher Lee,Dracula AD 1972,1972,Cutting Instrument
Christopher Lee,The Satanic Rites of Dracula,1973,Cutting Instrument
Christopher Lee,Dark Places,1974,Cutting Instrument
Christopher Lee,The Man with the Golden Gun,1974,Firearms
Christopher Lee,The Four Musketeers,1974,Cutting Instrument
Christopher Lee,Dracula and Son,1976,Fire
Christopher Lee,"To the Devil, a Daughter",1976,Supernatural
Christopher Lee,Airport 77,1977,Impact
Christopher Lee,1941,1979,Drowning
Christopher Lee,Arabian Adventure,1979,Other
Christopher Lee,The Passage,1979,Fire
Christopher Lee,The Return of Captain Invincible,1983,Impact
Christopher Lee,House of the Long Shadows,1983,Cutting Instrument
Christopher Lee,Howling II: Your Sister Is A Werewolf,1985,Supernatural
Christopher Lee,Mio in the Land of Faraway,1987,Cutting Instrument
Christopher Lee,Murder Story,1989,Strangulation
Christopher Lee,Return of the Three Musketeers,1989,Explosives
Christopher Lee,Gremlins 2: The New Batch,1990,Other
Christopher Lee,The Rainbow Thief,1990,Ailment
Christopher Lee,Tale of the Mummy,1998,Supernatural
Christopher Lee,Jinnah,1998,Ailment
Christopher Lee,The Lord of the Rings: The Return of the King,2003,Cutting Instrument
Christopher Lee,Crimson Rivers II: Angels of the Apocalypse,2004,Drowning
Christopher Lee,Star Wars Episode III: Revenge of the Sith,2005,Cutting Instrument
Christopher Lee,Alice in Wonderland,2010,Supernatural
Christopher Lee,Burke & Hare,2010,Strangulation
Christopher Lee,Season of the Witch,2011,Other
Christopher Lee,The Resident,2011,Cutting Instrument
Ewan McGregor,Star Wars Episode IV: A New Hope,1977,Cutting Instrument
Ewan McGregor,The Pillow Book,1996,Narcotics
Ewan McGregor,The Island,2005,Firearms
Ewan McGregor,Stormbreaker,2006,Firearms
Ewan McGregor,Miss Potter,2006,Ailment
Ewan McGregor,Cassandras Dream,2007,Other
Ewan McGregor,Angels and Demons,2009,Supernatural
Ewan McGregor,The Ghost Writer,2010,Supernatural
